"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 21 15:53:06 GMT 2021","Sat Aug 21 15:53:30 GMT 2021","23204","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 15:52:53 GMT 2021","Sat Aug 21 15:53:06 GMT 2021","13806","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"failed","Sat Aug 21 15:54:01 GMT 2021","Sat Aug 21 15:54:09 GMT 2021","8226","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 15:53:54 GMT 2021","Sat Aug 21 15:54:01 GMT 2021","7061","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 15:52:49 GMT 2021","Sat Aug 21 15:52:53 GMT 2021","3831","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"failed","Sat Aug 21 15:53:30 GMT 2021","Sat Aug 21 15:53:54 GMT 2021","24303","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 15:52:40 GMT 2021","Sat Aug 21 15:52:44 GMT 2021","4241","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 15:54:09 GMT 2021","Sat Aug 21 15:54:21 GMT 2021","12086","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 15:52:45 GMT 2021","Sat Aug 21 15:52:49 GMT 2021","4222","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 15:54:21 GMT 2021","Sat Aug 21 15:54:33 GMT 2021","11754","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 15:54:33 GMT 2021","Sat Aug 21 15:54:48 GMT 2021","14969","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
