"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 21 14:41:26 GMT 2021","Sat Aug 21 14:41:41 GMT 2021","14753","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 14:42:52 GMT 2021","Sat Aug 21 14:43:05 GMT 2021","13179","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 14:41:00 GMT 2021","Sat Aug 21 14:41:06 GMT 2021","6591","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 14:41:06 GMT 2021","Sat Aug 21 14:41:11 GMT 2021","4790","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"broken","Sat Aug 21 14:40:40 GMT 2021","Sat Aug 21 14:40:54 GMT 2021","13680","","TestPage","","TestPage","testRegistration","M-1 - Regisztráció",""
"passed","Sat Aug 21 14:42:11 GMT 2021","Sat Aug 21 14:42:20 GMT 2021","9281","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 14:42:37 GMT 2021","Sat Aug 21 14:42:52 GMT 2021","14912","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 14:40:54 GMT 2021","Sat Aug 21 14:41:00 GMT 2021","5835","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"failed","Sat Aug 21 14:41:41 GMT 2021","Sat Aug 21 14:42:11 GMT 2021","29788","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 14:42:20 GMT 2021","Sat Aug 21 14:42:37 GMT 2021","17202","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 14:41:11 GMT 2021","Sat Aug 21 14:41:26 GMT 2021","14921","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"broken","Sat Aug 21 14:43:05 GMT 2021","Sat Aug 21 14:43:18 GMT 2021","13074","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
