"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:14:19 GMT 2021","Sat Aug 21 16:14:26 GMT 2021","6457","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 16:16:20 GMT 2021","Sat Aug 21 16:16:35 GMT 2021","14702","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"failed","Sat Aug 21 16:15:53 GMT 2021","Sat Aug 21 16:16:04 GMT 2021","11356","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 16:14:26 GMT 2021","Sat Aug 21 16:14:31 GMT 2021","4895","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 16:14:12 GMT 2021","Sat Aug 21 16:14:19 GMT 2021","7189","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 16:16:04 GMT 2021","Sat Aug 21 16:16:20 GMT 2021","15826","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 16:16:35 GMT 2021","Sat Aug 21 16:16:54 GMT 2021","18536","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"failed","Sat Aug 21 16:15:12 GMT 2021","Sat Aug 21 16:15:43 GMT 2021","31069","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 16:15:43 GMT 2021","Sat Aug 21 16:15:53 GMT 2021","9816","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 16:14:31 GMT 2021","Sat Aug 21 16:14:46 GMT 2021","15040","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"failed","Sat Aug 21 16:14:46 GMT 2021","Sat Aug 21 16:15:12 GMT 2021","26593","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
