"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 13:01:33 GMT 2021","Sat Aug 21 13:01:38 GMT 2021","4878","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 13:01:29 GMT 2021","Sat Aug 21 13:01:33 GMT 2021","4751","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 13:02:57 GMT 2021","Sat Aug 21 13:03:09 GMT 2021","12294","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"failed","Sat Aug 21 13:02:21 GMT 2021","Sat Aug 21 13:02:35 GMT 2021","13840","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 13:01:43 GMT 2021","Sat Aug 21 13:01:58 GMT 2021","14581","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Sat Aug 21 13:03:21 GMT 2021","Sat Aug 21 13:03:36 GMT 2021","14745","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Sat Aug 21 13:01:38 GMT 2021","Sat Aug 21 13:01:43 GMT 2021","4628","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"failed","Sat Aug 21 13:01:58 GMT 2021","Sat Aug 21 13:02:21 GMT 2021","23755","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 13:02:42 GMT 2021","Sat Aug 21 13:02:57 GMT 2021","14712","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 13:03:09 GMT 2021","Sat Aug 21 13:03:21 GMT 2021","11801","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 13:02:35 GMT 2021","Sat Aug 21 13:02:42 GMT 2021","7107","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
