"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:32:18 GMT 2021","Sat Aug 21 16:32:24 GMT 2021","6140","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 16:32:24 GMT 2021","Sat Aug 21 16:32:30 GMT 2021","6044","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"failed","Sat Aug 21 16:32:51 GMT 2021","Sat Aug 21 16:33:15 GMT 2021","24258","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"failed","Sat Aug 21 16:33:15 GMT 2021","Sat Aug 21 16:33:45 GMT 2021","29346","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 16:34:11 GMT 2021","Sat Aug 21 16:34:25 GMT 2021","14692","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 16:34:40 GMT 2021","Sat Aug 21 16:34:58 GMT 2021","18072","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Sat Aug 21 16:33:54 GMT 2021","Sat Aug 21 16:34:11 GMT 2021","17024","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 16:32:30 GMT 2021","Sat Aug 21 16:32:36 GMT 2021","5649","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 16:33:45 GMT 2021","Sat Aug 21 16:33:54 GMT 2021","9110","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 16:32:36 GMT 2021","Sat Aug 21 16:32:51 GMT 2021","14780","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Sat Aug 21 16:34:25 GMT 2021","Sat Aug 21 16:34:40 GMT 2021","14724","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
