"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 13:41:37 GMT 2021","Sat Aug 21 13:41:43 GMT 2021","5949","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 13:43:14 GMT 2021","Sat Aug 21 13:43:31 GMT 2021","17010","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 13:43:46 GMT 2021","Sat Aug 21 13:44:00 GMT 2021","14131","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 13:41:54 GMT 2021","Sat Aug 21 13:42:09 GMT 2021","14823","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Sat Aug 21 13:41:50 GMT 2021","Sat Aug 21 13:41:54 GMT 2021","4725","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"failed","Sat Aug 21 13:42:34 GMT 2021","Sat Aug 21 13:43:05 GMT 2021","30441","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"failed","Sat Aug 21 13:42:09 GMT 2021","Sat Aug 21 13:42:34 GMT 2021","25178","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 13:41:43 GMT 2021","Sat Aug 21 13:41:50 GMT 2021","6286","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 13:43:31 GMT 2021","Sat Aug 21 13:43:46 GMT 2021","14964","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"broken","Sat Aug 21 13:41:24 GMT 2021","Sat Aug 21 13:41:37 GMT 2021","13634","","TestPage","","TestPage","testRegistration","M-1 - Regisztráció",""
"passed","Sat Aug 21 13:43:05 GMT 2021","Sat Aug 21 13:43:14 GMT 2021","9320","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"broken","Sat Aug 21 13:44:00 GMT 2021","Sat Aug 21 13:44:13 GMT 2021","12685","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
