"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:27:42 GMT 2021","Sat Aug 21 15:27:57 GMT 2021","14715","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"failed","Sat Aug 21 15:27:57 GMT 2021","Sat Aug 21 15:28:12 GMT 2021","14411","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 15:30:05 GMT 2021","Sat Aug 21 15:30:30 GMT 2021","24574","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"broken","Sat Aug 21 15:25:56 GMT 2021","Sat Aug 21 15:26:08 GMT 2021","11661","","TestPage","","TestPage","testRegistration","M-1 - Regisztráció",""
"passed","Sat Aug 21 15:28:41 GMT 2021","Sat Aug 21 15:28:49 GMT 2021","7762","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 15:28:49 GMT 2021","Sat Aug 21 15:29:07 GMT 2021","17648","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 15:27:23 GMT 2021","Sat Aug 21 15:27:42 GMT 2021","19720","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 15:26:08 GMT 2021","Sat Aug 21 15:26:42 GMT 2021","34666","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"failed","Sat Aug 21 15:28:12 GMT 2021","Sat Aug 21 15:28:41 GMT 2021","29656","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 15:29:07 GMT 2021","Sat Aug 21 15:29:50 GMT 2021","43629","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 15:26:42 GMT 2021","Sat Aug 21 15:27:23 GMT 2021","40381","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 15:29:50 GMT 2021","Sat Aug 21 15:30:05 GMT 2021","14665","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
