"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 13:32:15 GMT 2021","Sat Aug 21 13:32:42 GMT 2021","27407","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 13:31:57 GMT 2021","Sat Aug 21 13:32:01 GMT 2021","3794","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 13:33:15 GMT 2021","Sat Aug 21 13:33:26 GMT 2021","11243","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 13:32:01 GMT 2021","Sat Aug 21 13:32:15 GMT 2021","13679","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"failed","Sat Aug 21 13:32:42 GMT 2021","Sat Aug 21 13:32:55 GMT 2021","12768","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 13:32:55 GMT 2021","Sat Aug 21 13:33:01 GMT 2021","6049","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Sat Aug 21 13:33:01 GMT 2021","Sat Aug 21 13:33:15 GMT 2021","13774","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 13:33:26 GMT 2021","Sat Aug 21 13:33:37 GMT 2021","10557","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Sat Aug 21 13:31:53 GMT 2021","Sat Aug 21 13:31:57 GMT 2021","4055","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 13:31:49 GMT 2021","Sat Aug 21 13:31:53 GMT 2021","3952","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 13:33:37 GMT 2021","Sat Aug 21 13:33:51 GMT 2021","13941","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
