"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 15:03:23 GMT 2021","Sat Aug 21 15:03:41 GMT 2021","17796","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Sat Aug 21 15:01:18 GMT 2021","Sat Aug 21 15:01:24 GMT 2021","6068","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Sat Aug 21 15:02:27 GMT 2021","Sat Aug 21 15:02:37 GMT 2021","9245","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"failed","Sat Aug 21 15:01:43 GMT 2021","Sat Aug 21 15:01:58 GMT 2021","14765","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Sat Aug 21 15:02:37 GMT 2021","Sat Aug 21 15:02:54 GMT 2021","16861","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Sat Aug 21 15:03:08 GMT 2021","Sat Aug 21 15:03:23 GMT 2021","14585","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"broken","Sat Aug 21 15:00:59 GMT 2021","Sat Aug 21 15:01:12 GMT 2021","13365","","TestPage","","TestPage","testRegistration","M-1 - Regisztráció",""
"failed","Sat Aug 21 15:01:58 GMT 2021","Sat Aug 21 15:02:27 GMT 2021","29502","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Sat Aug 21 15:01:24 GMT 2021","Sat Aug 21 15:01:28 GMT 2021","4759","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Sat Aug 21 15:02:54 GMT 2021","Sat Aug 21 15:03:08 GMT 2021","14517","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Sat Aug 21 15:01:12 GMT 2021","Sat Aug 21 15:01:18 GMT 2021","5544","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Sat Aug 21 15:01:28 GMT 2021","Sat Aug 21 15:01:43 GMT 2021","14784","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
