"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 11:50:58 GMT 2021","Tue Aug 17 11:51:05 GMT 2021","7139","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Tue Aug 17 11:52:58 GMT 2021","Tue Aug 17 11:53:13 GMT 2021","15217","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Tue Aug 17 11:52:14 GMT 2021","Tue Aug 17 11:52:24 GMT 2021","10381","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"failed","Tue Aug 17 11:51:27 GMT 2021","Tue Aug 17 11:51:42 GMT 2021","15430","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Tue Aug 17 11:51:11 GMT 2021","Tue Aug 17 11:51:27 GMT 2021","15955","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"broken","Tue Aug 17 11:53:13 GMT 2021","Tue Aug 17 11:53:27 GMT 2021","13634","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Tue Aug 17 11:51:05 GMT 2021","Tue Aug 17 11:51:11 GMT 2021","5789","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"passed","Tue Aug 17 11:52:24 GMT 2021","Tue Aug 17 11:52:42 GMT 2021","17923","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
"passed","Tue Aug 17 11:50:51 GMT 2021","Tue Aug 17 11:50:58 GMT 2021","6832","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"passed","Tue Aug 17 11:52:42 GMT 2021","Tue Aug 17 11:52:58 GMT 2021","15841","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"failed","Tue Aug 17 11:51:42 GMT 2021","Tue Aug 17 11:52:14 GMT 2021","31580","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
