"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 11:41:40 GMT 2021","Tue Aug 17 11:41:45 GMT 2021","4937","","TestPage","","TestPage","testLogin","M-2 - Bejelentkezés",""
"failed","Tue Aug 17 11:42:10 GMT 2021","Tue Aug 17 11:42:32 GMT 2021","21932","","TestPage","","TestPage","testMenuPagingByDropdown","M-5.1 - Étlap bejárása1",""
"passed","Tue Aug 17 11:42:45 GMT 2021","Tue Aug 17 11:42:52 GMT 2021","7044","","TestPage","","TestPage","testOrderDessert","M-6 - Rendelés",""
"passed","Tue Aug 17 11:41:50 GMT 2021","Tue Aug 17 11:41:54 GMT 2021","4533","","TestPage","","TestPage","testDataProtectionTitle","M-3 - Adatkezelési Nyilatkozat",""
"failed","Tue Aug 17 11:42:32 GMT 2021","Tue Aug 17 11:42:45 GMT 2021","13771","","TestPage","","TestPage","testMenuPagingByButtons","M-5.2 - Étlap bejárása2",""
"passed","Tue Aug 17 11:41:54 GMT 2021","Tue Aug 17 11:42:10 GMT 2021","15389","","TestPage","","TestPage","testDataProtectionList","M-4 - Listázás",""
"passed","Tue Aug 17 11:43:31 GMT 2021","Tue Aug 17 11:43:47 GMT 2021","15923","","TestPage","","TestPage","testOrderFromFile","M-7 - Fájlban összeírt rendelés feladása",""
"passed","Tue Aug 17 11:43:20 GMT 2021","Tue Aug 17 11:43:31 GMT 2021","11487","","TestPage","","TestPage","testOrderAndWrite","M-8 Rendelési adat mentése fájlba",""
"passed","Tue Aug 17 11:41:45 GMT 2021","Tue Aug 17 11:41:50 GMT 2021","4968","","TestPage","","TestPage","testLogout","M-11 - Kijelentkezés",""
"passed","Tue Aug 17 11:43:07 GMT 2021","Tue Aug 17 11:43:20 GMT 2021","12577","","TestPage","","TestPage","testOrderDessertThenModify","M-9 - Rendelés módosítása",""
"passed","Tue Aug 17 11:42:52 GMT 2021","Tue Aug 17 11:43:07 GMT 2021","14701","","TestPage","","TestPage","testOrderDessertThenDelete","M-10 - Rendelés törlése",""
